# Time-averaged data for fix SSS
# TimeStep v_StressGPa v_separation v_Strain
1000 -8.69893 5.12272 0.0005005
2000 -10.5598 5.14641 0.0015005
3000 -11.255 5.16052 0.0025005
4000 -12.0103 5.17505 0.0035005
5000 -12.8339 5.1906 0.0045005
6000 -13.5993 5.20618 0.0055005
7000 -14.3682 5.22234 0.0065005
8000 -15.082 5.23835 0.0075005
9000 -15.8038 5.25497 0.0085005
10000 -16.5108 5.27286 0.0095005
11000 -17.1231 5.29054 0.0105005
12000 -17.7414 5.30999 0.0115005
13000 -18.3315 5.32937 0.0125005
14000 -18.9117 5.34895 0.0135005
15000 -19.5059 5.37031 0.0145005
16000 -20.044 5.39221 0.0155005
17000 -20.5156 5.41457 0.0165005
18000 -20.9372 5.43851 0.0175005
19000 -21.3333 5.46283 0.0185005
20000 -21.6969 5.49034 0.0195005
21000 -21.9949 5.51852 0.0205005
22000 -22.2005 5.54852 0.0215005
23000 -22.3285 5.58143 0.0225005
24000 -22.3286 5.61708 0.0235005
25000 -22.166 5.65718 0.0245005
26000 -21.855 5.70137 0.0255005
27000 -21.3679 5.74965 0.0265005
28000 -20.7247 5.8035 0.0275005
29000 -19.9119 5.86212 0.0285005
30000 -18.96 5.92729 0.0295005
31000 -17.8919 5.99865 0.0305005
32000 -16.7247 6.07774 0.0315005
33000 -15.5022 6.16554 0.0325005
34000 -14.2298 6.26105 0.0335005
35000 -12.9478 6.36391 0.0345005
36000 -11.6893 6.47426 0.0355005
37000 -10.4579 6.59187 0.0365005
38000 -9.30055 6.71591 0.0375005
39000 -8.21732 6.84584 0.0385005
40000 -7.22674 6.97976 0.0395005
41000 -6.29535 7.11757 0.0405005
42000 -5.42354 7.25772 0.0415005
43000 -4.64624 7.40106 0.0425005
44000 -4.00714 7.54545 0.0435005
45000 -3.44429 7.68997 0.0445005
46000 -2.96056 7.83657 0.0455005
47000 -2.56307 7.98377 0.0465005
48000 -2.20909 8.12933 0.0475005
49000 -1.91007 8.27431 0.0485005
50000 -1.65689 8.42011 0.0495005
51000 -1.43499 8.56648 0.0505005
52000 -1.23919 8.71264 0.0515005
53000 -1.06773 8.85815 0.0525005
54000 -0.904833 9.00137 0.0535005
55000 -0.780466 9.14333 0.0545005
56000 -0.66327 9.28393 0.0555005
57000 -0.567093 9.42444 0.0565005
58000 -0.511204 9.5646 0.0575005
59000 -0.477577 9.70464 0.0585005
60000 -0.455741 9.84274 0.0595005
61000 -0.431721 9.98039 0.0605005
62000 -0.40789 10.1164 0.0615005
63000 -0.379498 10.2512 0.0625005
64000 -0.348056 10.3857 0.0635005
65000 -0.318853 10.5189 0.0645005
66000 -0.287455 10.6525 0.0655005
